OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DEM,SLOPE,ASPECT,evi,ssm,minimum_2m_air_temperature_median,mean_2m_air_temperature_median,maximum_2m_air_temperature_median,v_component_of_wind_10m_median,total_precipitation_median,LU1_Desc,DOMSOI,GPS_LONG,GPS_LAT
2.9,354.5,523.5,698.5,898.5,1217,1724,1982,2100,2298,2319.5,2652,1701.5,75,1.0997701,327.48453,0.35879397,4.258151,287.3304,291.17493,295.8112,-2.0987449,0.00001,Forestry,Po,-8.621128655,38.33709262
6.4,435.5,599.5,739,909,1023,1229,1378.5,1667.5,1528,2025,1950.5,1464,46,2.8428884,192.05565,0.229702332,5.2312436,286.1637,291.83032,297.79065,-1.8777568,0.000007,Fallow land,Po,-8.726281891,38.70516812
4.7,524,726,1087,1703,2119,2250,2501,2605,2949,3045,4401,2887,60,1.1747917,90,0.101256133,3.983143,285.87177,291.42578,297.58517,-1.4989121,0.0000071,Agriculture (excluding fallow land and kitchen gardens),Po,-8.444053459,37.87204858
7.1,367.5,605.5,876.5,1345,1675.5,1821.5,2027.5,2183,2367.5,2541.5,4037,2658,78,0.7504116,51.83321,0.121798471,3.757001,287.93024,290.8383,294.18094,-2.2550485,0.0000114,Agriculture (excluding fallow land and kitchen gardens),Po,-8.532129552,38.18799401
11.2,407,686,976,1467,1956,2533,2930,3241,3297,2972,3718,2920,84,1.8248214,220.34694,0.235139772,4.469845,287.3304,291.17493,295.8112,-2.0987449,0.00001,Forestry,Po,-8.539497845,38.29762997
10.3,317,481,730,938,1289,2562,3052,2615,3390,3043,2743,1594,41,1.7836263,270,0.338310465,4.442086,285.80377,291.57074,297.76825,-1.8995682,0.00000695,Fallow land,Po,-8.624439327,38.76226676
8.3,600,743.5,1098,1897.5,2257,2437.5,2720.5,2969.5,3148.5,3234,4670,3290.5,122,1.761136,270,0.132747813,4.363924,285.87177,291.42578,297.58517,-1.4989121,0.0000071,Agriculture (excluding fallow land and kitchen gardens),Po,-8.318924201,37.84102488
5.9,666,1635,1654,1484,1568,2409,2765,3393,2991,1860,2422,1654,65,5.092202,35.167835,0.349159248,3.145107,285.87177,291.42578,297.58517,-1.4989121,0.0000071,Agriculture (excluding fallow land and kitchen gardens),Po,-8.303628792,37.95506483
15,597,738,982,1471,1798,2080,2399,2487,2827,2632,4456,2928,104,0.92740995,0,0.159605623,4.9507008,285.57614,291.58154,297.69153,-1.7281085,0.00000467,Agriculture (excluding fallow land and kitchen gardens),Po,-8.480398084,39.08650659
5.7,582,657,869,1108,1712,2391,2670,2785,3052,3137,3550,2277,90,4.404877,42.649883,0.298751064,4.9692755,286.01944,291.07227,296.68176,-1.9380779,0.00000667,Forestry,Po,-8.500555622,39.15660199
