OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DEM,SLOPE,ASPECT,evi,ssm,minimum_2m_air_temperature_median,mean_2m_air_temperature_median,maximum_2m_air_temperature_median,v_component_of_wind_10m_median,total_precipitation_median,LU1_Desc,DOMSOI,GPS_LONG,GPS_LAT
17.8,725.5,1112,1471,1884.5,2155.5,2207,2360,2465,2601,2510,3566.5,2780,840,8.176551,327.66812,0.124837711,5.9445386,280.01956,286.16537,291.89612,-0.73241884,0.000189,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.332508536,42.49933389
7,622,848,1153.5,1591.5,1896,2015,2178.5,2268.5,2453.5,2486,3949,3046.5,685,0,0,0.136566199,6.304334,279.80777,285.66327,291.38928,-0.90754366,0.00015,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.352531443,42.58803965
24,816,1002,1824,2294,2576,3377,3591,3848,3740,3557,4052,2916,638,8.183054,273.22662,0.264982111,10.403824,280.2584,285.55276,290.8977,-0.6916686,0.000418,Abandoned areas,Bk,-3.4171442,42.87181073
56.3,365,510,813,948,1612,2083,2300,2346,2629,2656,3150,2069,720,3.9193788,126.205475,0.253591505,13.625765,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.433427004,42.94273276
9.7,1203.5,1448,2095,2415,2732.5,3003,3084.5,3190,3269.5,3306.5,4092,3076.5,817,5.7192063,279.30167,0.153281175,5.9445386,279.80777,285.66327,291.38928,-0.90754366,0.00015,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.31252627,42.520261
17.9,452,631,840,1088,1435,1704,1883,1843,2129,1937,3091,2309,646,0.46373534,180,0.191568047,6.304334,279.80777,285.66327,291.38928,-0.90754366,0.00015,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.340555369,42.64444946
10.8,382.5,612,909,1320,1691,2030.5,2252.5,2416.5,2484.5,2548,3180,2464,728,5.6588626,270,0.187742128,9.043981,279.80777,285.66327,291.38928,-0.90754366,0.00015,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.348592463,42.67992721
96.4,454.5,642.5,946.5,1331.5,1725.5,2347,2602.5,2718,2912.5,3065,3082,2267,760,8.658368,163.0849,0.349125252,20.311886,282.2816,286.73364,291.19424,-0.22604233,0.000536,Semi-natural and natural areas not in use,Bk,-3.433762696,43.05231848
9.5,815.5,1276,1693,2020.5,2501,2673.5,2860.5,2886.5,3118,2943.5,3616.5,2211,825,11.510583,209.02678,0.200583053,5.9445386,279.80777,285.66327,291.38928,-0.90754366,0.00015,Semi-natural and natural areas not in use,Bk,-3.284558929,42.50569585
0.8,372,731.5,1051,1439.5,1446.5,1970,2187,2441,2516,2454,2598.5,1816.5,740,4.5202374,78.184525,0.206842756,10.403824,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.381072834,42.93141803
7.7,861,1204,1821,2337,2687,2827,2997,3046,3185,3094,4213,3278,683,8.235921,276.42133,0.132315522,13.625765,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.393267893,42.98461237
26,613,767.5,1050,1316,1892,2646.5,2913.5,3054,3277,3014,3374.5,2424.5,1016,22.29615,215.97366,0.25590011,10.462525,279.71362,285.7082,291.45383,-0.59506285,0.000169,Semi-natural and natural areas not in use,Bk,-3.220976137,42.33138502
19.9,666,796,1180.5,1466,2030,2371.5,2560,2625,2883.5,2878.5,3442.5,2615.5,912,6.364546,136.52205,0.276043106,7.1341114,279.71362,285.7082,291.45383,-0.59506285,0.000169,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.240739086,42.42013317
6.3,358,563.5,786.5,935,1286,1765.5,1992.5,2129.5,2316.5,2577,2402,1503,655,7.790575,198.81819,0.282599021,7.195465,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.328636996,42.81047099
39.2,431.5,602.5,864,1138,1446,1835,2034,2162,2353,2406,3151,2083.5,667,3.4806292,201.32933,0.23243112,14.051472,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.365043001,42.97008259
31.3,716,847,1163,1578,1834,2065,2225,2366,2512,2476,3986,3075,835,3.12318,306.39523,0.125328482,5.9445386,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.236600326,42.51203513
27.8,571,764,1000.5,1293,1460,1592,1727.5,1829,1955,2058.5,3336,2690,836,1.887748,270,0.128187019,5.9445386,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.24454552,42.54752774
18.8,533,717.5,952.5,1290.5,1587,1726,1905,1903.5,2138.5,2228,3632,2689,612,6.2943583,197.45808,0.150326797,7.195465,280.2584,285.55276,290.8977,-0.6916686,0.000418,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.300518192,42.79591815
11.7,604,1835.5,2134,1982.5,1791.5,2691,2673.5,3316.5,2961.5,2587.5,1376,890,660,5.8592587,198.83424,1.017029328,13.080385,280.2584,285.55276,290.8977,-0.6916686,0.000418,Semi-natural and natural areas not in use,Bk,-3.316625751,42.86686827
31.3,636,695.5,959.5,1221,1590,1996,2174,2298,2437.5,2453.5,3163.5,2436.5,783,8.437475,105.83235,0.175825691,6.038041,279.71362,285.7082,291.45383,-0.59506285,0.000169,Semi-natural and natural areas not in use,Bk,-3.208656607,42.49744809
19.4,599.5,840.5,1171,1587.5,1974,2188,2428.5,2648,2755.5,2736.5,3632.5,2626.5,789,3.1239524,306.38477,0.14552722,6.038041,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.192590159,42.53610045
12.3,580,713,952,1231,1486,1550,1781,1899,2071,2067,3467,2701,672,0,0,0.138034666,6.3521633,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.212424551,42.62483641
103.5,1052,1525,1626,1670,2139,2805,2980,3102,3186,3000,3105,2517,656,30.918488,127.45441,1.324599709,14.051472,280.2584,285.55276,290.8977,-0.6916686,0.000418,Semi-natural and natural areas not in use,Bk,-3.284487925,42.94417943
52.2,339,449,733,908,1431,2267,2450,2492,2936,3025,3432,2149,388,7.188788,333.94717,0.345886752,15.815089,282.2816,286.73364,291.19424,-0.22604233,0.000536,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.312794436,43.06832353
14,689,786,1059,1340,1489,1740,2028,1997,2301,2339,2889,2315,802,0,0,0.215306322,6.3521633,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.156450244,42.59564614
2.5,648,799,1235,1410,2251,2935,3182,3126,3430,3214,3492,2615,623,3.9116836,53.71171,0.263962212,10.486819,280.56656,285.88052,291.3252,-0.6572668,0.000301,Semi-natural and natural areas not in use,Bk,-3.192171588,42.75536734
47.2,340,371,519,638,951,1348,1562,1770,1898,2171,2503,1591,1183,31.742306,186.0957,0.36440678,10.298896,279.71362,285.7082,291.45383,-0.59506285,0.000169,Semi-natural and natural areas not in use,Bk,-3.073564236,42.33247824
5.9,412,682,1036,1615,1839,2123,2298,2428,2459,2422,3118,2433,1045,3.097956,126.74055,0.130990046,6.4278994,279.6506,286.30258,293.94922,-0.34434375,0.00000805,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.915213765,41.71371871
65.9,523,531,771,960,1475,2159,2325,2548,2877,3115,3586,2226,1235,10.435218,72.0832,0.352237483,10.298896,279.71362,285.7082,291.45383,-0.59506285,0.000169,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.05354098,42.35335789
53.2,379.5,447.5,622,815,1185.5,1557.5,1791,2010.5,2107.5,2146.5,2338.5,1400,1130,13.249337,201.85443,0.340762754,10.298896,279.71362,285.7082,291.45383,-0.59506285,0.000169,Semi-natural and natural areas not in use,Bk,-3.033505093,42.37423351
22.1,549.5,746.5,1068.5,1410.5,1731,2238,2487.5,2563.5,2829,2788.5,3250,2456,689,4.1663504,180,0.155774887,5.8692207,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.060361287,42.60818306
13.3,751,900,1177,1591,1871,2094,2266,2457,2566,2647,3547,2465,586,5.1173477,79.58584,0.138379285,6.4434595,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.076096188,42.67919272
9.9,608.5,847,1297.5,1612.5,1959.5,2345,2601.5,2841.5,2918,2707.5,3567,2871.5,537,4.669841,352.24957,0.141998069,6.4434595,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.083982509,42.71469449
21.7,586,687,943,1171,1416,1921,2186,2339,2481,2230,2644,1757,779,10.37064,51.743107,0.258634801,15.317812,280.56656,285.88052,291.3252,-0.6572668,0.000301,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.131566373,42.92766241
4.3,656,951,1525,2234,2574,3226,3331,3371,3550,2889,3839,3045,1024,6.9178157,159.05832,0.138714676,6.4278994,279.6506,286.30258,293.94922,-0.34434375,0.00000805,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.840377566,41.70515679
10.5,469,599,820,1174,1386,1606,1732,1840,1946,1996,2638,2034,666,4.5701385,335.68826,0.149611011,6.2649093,279.71362,285.7082,291.45383,-0.59506285,0.000169,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.001174339,42.45149184
18.1,709,817,1094,1522,1855.5,2155.5,2389,2533,2720,2776.5,3693.5,2741,663,1.9456712,76.216385,0.171879325,5.8692207,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.036333478,42.61130308
15.6,671,756,1027,1369.5,1674.5,1864.5,1994,2008,2259,2481.5,3916,3047.5,491,1.3909631,180,0.182464455,6.4434595,280.292,285.9445,291.6439,-0.8615734,0.000219,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.027983503,42.68543568
10.7,736,1018,1583,1631,2045,2963,3140,3198.5,3359.5,3276,3095.5,2104,517,5.0636606,95.24096,0.283629516,11.160791,280.56656,285.88052,291.3252,-0.6572668,0.000301,Agriculture (excluding fallow land and kitchen gardens),Bk,-3.051597771,42.79194788
3.4,627.5,752,1101.5,1414,1652.5,1834.5,1969,2085.5,2217,2300.5,3037,2365,589,7.041973,117.30054,0.173717797,5.1471634,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.960999055,42.49321699
17.8,260,276,578,888,945,1202,1235,1421,1442,1699,1747,1231,525,1.5633091,126.380135,0.21520438,5.1471634,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.972668482,42.54649534
7.5,521,702,1024,1393,1553,1856,1990,2176,2117,2212,3075,2313,584,0.92740995,0,0.165332104,5.392494,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.933135635,42.47855092
18.6,512,814,1171,1595,1958,2068,2245,2338,2478,2471,3502,2633,539,10.075486,59.92928,0.162279311,5.392494,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.94477531,42.531834
8.4,524,761,1242,1440,1788,2224,2586,2958,3023,3486,3303,2357,542,0.78225625,306.35553,0.143353606,5.8692207,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.960338242,42.60287101
17.1,448.5,546.5,831,1280.5,1602.5,1748,1932,2022,2155.5,2065,2499.5,1871,752,0.78069955,233.56033,0.13593437,4.6630936,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.893704484,42.41058419
14.6,335,471,666,865,1060,1393,1530,1589,1768,1890,2664,1944,602,2.239768,325.87143,0.127294257,4.6630936,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.905286738,42.46387655
10.1,473,713,1114,1512,1691,1979,2099,2339,2359,2361,3129,2476,554,2.6795185,69.763954,0.19806338,5.392494,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.913023625,42.49940225
5.3,487,674,1107,1380.5,1778.5,2669.5,2937.5,2996,3089.5,2843.5,2814.5,2195.5,492,2.344818,53.63034,0.116032031,5.7285943,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.928534441,42.57044757
4.3,777,1413,2114,2870,2581,2868,2977,3540,3149,2852,3576,2815,1173,11.89928,177.05182,0.122722525,7.4934893,279.13303,286.05624,293.35547,-0.41137296,0.0000127,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.714461001,41.68483117
19.7,421,597,861,1193,1539,1621,1774,1941,2017,2058,2687,1979,626,1.2571869,270,0.194335822,5.392494,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.857329829,42.47003486
406.1,397.5,596.5,780.5,850,1099.5,1764,2063,2214.5,2396.5,2303.5,2434.5,1570.5,1055,1.3473706,290.1282,0.653320919,17.033195,281.38623,286.32126,291.5158,-0.64982533,0.000425,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.942816408,42.86075331
16.3,527,698,1004,1238.5,1838.5,2248,2394.5,2335.5,2658,2464,3574.5,2675,1117,1.3258845,69.53099,0.214505681,7.3073316,279.13303,286.05624,293.35547,-0.41137296,0.0000127,Semi-natural and natural areas not in use,Bk,-2.67080459,41.7086754
30.8,350,395.5,567,611,943,1389,1510,1656,1769.5,1917.5,1979,1254.5,542,20.088419,174.81927,0.564880568,6.2553267,280.67148,286.1678,291.97113,-0.91163915,0.000181,Semi-natural and natural areas not in use,Bk,-2.875828263,42.66850686
3.8,538.5,712,1000,1378,1578,1862.5,2020,2145.5,2255,2291.5,2846,2129,527,1.34472,110.169624,0.18159204,6.2553267,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.887478663,42.72178757
10.3,394.5,495,725,1080,1336.5,1458.5,1608.5,1647.5,1874.5,2118,2508.5,1795,536,3.1220322,53.58922,0.134703061,4.463834,280.18732,285.91895,291.62366,-0.58182985,0.000164,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.809364219,42.47617046
28.8,697,1072.5,1550.5,2177,2505.5,2723,2879.5,3002,3124,2776.5,4260,3046,1129,1.3105624,69.28066,0.137335174,5.6942396,280.22128,287.36444,294.339,0.1594515,0.0000105,Fallow land,Bk,-2.445402371,40.84236004
17.4,585.5,727,939,1261,1521,1783.5,1927,2044.5,2268.5,2271,3296,2384.5,494,5.687786,192.79033,0.163961798,8.115814,281.38623,286.32126,291.5158,-0.64982533,0.000425,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.847071605,42.76346372
6.1,502,787,1166,1569,1879,2550,2814,2846,2796,2903,2736,1968,571,1.1205156,325.85608,0.1752,4.463834,280.67148,286.1678,291.97113,-0.91163915,0.000181,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.765215913,42.50005279
12,810,1007,1633,2301,2947,3258,3426,3294,3521,3489,3981,3065,491,5.71611,99.30677,0.230861927,4.463834,280.07968,286.31888,291.99756,-0.65227264,0.00017,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.737399551,42.48533128
37.2,501,587,795,902,1337,1787,1998,2034,2245,2501,3184,2279,1126,3.7041903,41.39904,0.297504798,6.5650053,280.22128,287.36444,294.339,0.1594515,0.0000105,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.378798845,40.86904323
36.6,361.5,413.5,599.5,881.5,1356,1616,1797,1745,2122.5,2092.5,3217.5,2241,1107,5.2356777,166.31273,0.261462391,7.3073316,279.13303,286.05624,293.35547,-0.41137296,0.0000127,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.548625871,41.70592765
22.3,695.5,839,1106.5,1343,1629,2006.5,2173,2241,2381,2341,3293,2632,1133,4.893495,48.56573,0.20487413,6.5650053,280.22128,287.36444,294.339,0.1594515,0.0000105,Semi-natural and natural areas not in use,Bk,-2.34832867,40.83634873
48.2,428,488,701.5,755.5,1124,1784,2053,2094.5,2255,2245,2424.5,1640.5,1141,10.110882,285.80316,0.235805861,8.230609,280.22128,287.36444,294.339,0.1594515,0.0000105,Semi-natural and natural areas not in use,Bk,-2.380260705,40.99670947
4,531,756,1149,1354,1905,2210,2411,2746,2738,2786,3549,2402,1056,2.2312787,213.80525,0.286620836,6.960604,279.13303,286.05624,293.35547,-0.41137296,0.0000127,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.521254712,41.69112376
12.6,541,758,1199,1776,2132,2655,2841,2951,3064,3004,2943,2244,444,0.78135437,306.4042,0.180662615,4.463834,280.07968,286.31888,291.99756,-0.65227264,0.00017,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.689412311,42.49141009
28.5,569.5,598.5,912.5,1318.5,1728,2099.5,2288,2258.5,2475,2921.5,3584.5,2722,972,8.470271,45.044735,0.157328905,6.0831804,281.1761,287.95386,295.3579,0.29246557,0.0000165,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.12814554,39.82262982
62.2,503,704,876,1137,1379,1659,1844,2020,2138,2064,3400,2529,1030,0.46373534,180,0.205307513,7.3455687,281.1761,287.95386,295.3579,0.29246557,0.0000165,Semi-natural and natural areas not in use,Bk,-2.134905799,39.858331
39.3,536.5,618,852,1010.5,1143,1847.5,1947.5,2066.5,2181,2481,2305,1608,1146,15.074835,107.48748,0.298324306,6.5650053,280.22128,287.36444,294.339,0.1594515,0.0000105,Semi-natural and natural areas not in use,Bk,-2.332009998,40.87492741
6.8,831,1252,1966,2961,3347,3804,4056,4294,4301,3948,5073,3930,1047,1.5500852,126.741264,0.136923839,6.960604,279.13303,286.05624,293.35547,-0.41137296,0.0000127,Fallow land,Bk,-2.501225975,41.7119048
35.1,1124.5,1246,1501,1661,2237,2932,3199,3247.5,3546.5,3426,3695,2626,1329,14.961415,40.781227,0.277311565,17.582788,279.06476,284.5716,290.35266,-0.21332316,0.000182,Forestry,Bk,-2.5826054,42.10329465
31.9,551,563,748,830,1172,1956,2209,2433,2419,2423,2632,1651,1029,8.764474,4.0736227,0.853835022,13.704551,280.07968,286.31888,291.99756,-0.65227264,0.00017,Forestry,Bk,-2.635135032,42.35223398
11.7,536,725,1026,1557.5,1921.5,2185.5,2526.5,2722.5,3012.5,2771,3676,2521.5,657,2.6479075,45.569183,0.17451359,8.419243,280.49005,285.9065,291.6106,-0.937105,0.000185,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.703538632,42.67215482
18,589,891,1207,1471.5,1791.5,2221,2368,2662,2633,2729,3499,2452,1216,4.057855,323.00098,0.299298939,6.906245,280.44366,288.04712,295.24765,0.30636013,0.0000235,Fallow land,Bk,-2.269966361,40.68179783
17.6,722,820,1081,1277,1379,1998,2292,2259,2675,2765,2440,1782,1007,5.243697,45.1274,0.226287112,6.960604,279.14,285.77713,293.25864,-0.40554783,0.0000113,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.47386397,41.69708769
4.5,459,577,774,962,1310,1649,1836,1897,2090,2173,3052,2219,594,9.198271,107.45138,0.237210054,11.567949,281.26776,286.18015,291.6254,-0.71464443,0.000312,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.710134425,42.81733421
44.6,1372,1466,1473,1410,1652,1933,2056,2389,2151,1498,1021,771,672,11.464271,33.05872,-0.740022173,19.122784,281.26776,286.18015,291.6254,-0.71464443,0.000312,Forestry,Bk,-2.744866626,42.9772081
14,608,871,1365,2041,2484,2752,2932,2976,3082,3072,4156,3271,1048,2.394477,14.579108,0.170170366,5.378611,282.39008,288.9229,296.1299,0.28565043,0.0000194,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.065293037,39.73910892
27.9,340,457,677,806,1397,1878,2120,2158,2402,2517,2990,2001,1305,2.0544608,243.17552,0.358152686,9.086935,279.83203,287.22058,294.2243,0.3385613,0.0000109,Semi-natural and natural areas not in use,Bk,-2.243146544,40.66688751
18.7,419,668.5,1081.5,1556,1814.5,2425.5,2594,2712.5,2789,2765,3555.5,2800.5,1115,8.506099,30.015654,0.271264368,8.5406685,280.22128,287.36444,294.339,0.1594515,0.0000105,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.264131039,40.77384783
8.1,341,1030,1416,1539,1768,2560,2893,2986,3173,2450,2897,1883,1338,14.748309,240.53166,0.321829346,20.15274,279.06476,284.5716,290.35266,-0.21332316,0.000182,Road transport,Bk,-2.514762391,42.13007288
16.1,516,709,1321.5,2304,2659,3032.5,3203,3300,3426.5,3411,4315.5,3423.5,1080,2.8448167,167.76353,0.087472767,5.878115,281.1761,287.95386,295.3579,0.29246557,0.0000165,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.025974498,39.78054247
113.3,517,709,949,885.5,1272,1892.5,2035,2166.5,2204.5,2126,2154,1465,1100,3.712368,29.166248,0.471556081,5.878115,281.1761,287.95386,295.3579,0.29246557,0.0000165,Forestry,Bk,-2.03602208,39.83410928
24.4,590.5,763,1267.5,2079.5,2301,2432.5,2524,2725,2693,2706.5,4107.5,3172,1169,1.3909631,180,0.079675209,5.516461,281.1761,287.95386,295.3579,0.29246557,0.0000165,Fallow land,Bk,-2.049454791,39.90552427
36.6,668,832,1124,1230,1454,2015,2205,2413,2521,2509,2935,2141,1212,3.7050586,138.5857,0.321935249,7.5548716,279.92923,287.1728,294.26675,0.04499146,0.0000125,Semi-natural and natural areas not in use,Bk,-2.241919742,40.90445321
14,457,741.5,1013,1444.5,1515.5,2033.5,2205,2389.5,2399.5,2549.5,2398,1871.5,1225,12.501136,255.19441,0.234893312,6.5145526,280.22128,287.36444,294.339,0.1594515,0.0000105,Semi-natural and natural areas not in use,Bk,-2.252467633,40.95792131
50.7,412.5,504,715,819.5,1161,1604,1809,1896.5,2114.5,2159,2780,1977,1237,7.468282,280.67453,0.342046151,8.629332,280.27853,286.8695,294.25485,0.02927803,0.0000103,Semi-natural and natural areas not in use,Bk,-2.273637455,41.06484363
11.4,792,976,1337,1716,2010,2512,2675,2849,2929,3035,3728,2790,1103,0,0,0.203381148,13.01734,277.98975,283.64026,289.90793,-0.2945667,0.0000132,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.446622252,41.91956166
34.7,520,658,943,988,1438.5,2084.5,2281.5,2513,2589.5,2680,2866.5,1900.5,799,20.379053,113.09066,0.438856016,16.530556,281.26776,286.18015,291.6254,-0.71464443,0.000312,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.622479406,42.75535165
32.9,503.5,540,817,931,1367,2015.5,2203,2204,2511,2455.5,2735,1897,1289,6.4935474,185.41066,0.239726027,8.693144,279.98334,286.94708,294.61472,-0.038003527,0.0000107,Semi-natural and natural areas not in use,Bk,-2.246639499,41.04994492
28.2,369,691,1020,1473,1907,2291,2515,2569,2742,2570,3557,2769,1261,6.718753,344.12955,0.198857271,8.629332,280.27853,286.8695,294.25485,0.02927803,0.0000103,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.253699715,41.08558455
131.2,1136,1561,1893,1831,2282,3407,3563,3995,3766,2564,2368,1248,558,3.7583745,350.29987,-1.268958544,14.926193,283.6623,286.89713,290.3649,-0.52088857,0.000611,Forestry,Bk,-2.651949193,43.00713085
102.9,335,523,751,987,1193.5,2004,2273.5,2346.5,2575.5,2447,2593.5,1725,1095,1.2933663,248.99214,0.355168014,5.878115,280.59503,287.39465,294.6515,0.0904319,0.0000124,Forestry,Bk,-1.98661015,39.82195954
73,519.5,599,788,922,1258,1769,1940,2072.5,2261.5,2144,2706,1954.5,1324,4.9032397,311.33334,0.470383275,7.0775323,279.98334,286.94708,294.61472,-0.038003527,0.0000107,Semi-natural and natural areas not in use,Bk,-2.226697077,41.0706808
51.6,398,454,633,831,1103,1780,1932,2195,2331,2296,2407,1461,1319,7.4814525,189.55273,0.356722854,19.653893,279.2509,285.2733,291.15808,-0.3199747,0.000177,Forestry,Bk,-2.421057336,42.03226359
4.1,608.5,671.5,998.5,1305,1748,2257.5,2471.5,2482,2717,2799.5,3035,2320.5,389,4.9661455,130.69498,0.171443435,4.0668907,280.49005,285.9065,291.6106,-0.937105,0.000185,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.521389424,42.51250688
13.9,476,561,742,801,1253,1829,2010,2174,2222,2232,2206,1511,1227,9.678367,275.4466,0.248441974,5.552552,280.18774,287.60205,294.22186,0.47383332,0.0000189,Forestry,Bk,-2.05108126,40.28893654
29.2,840,885,1254,1464,2032,2638,2850,2874,3066,2972,3880,2952,1316,12.219185,250.34377,0.171042847,8.693144,279.98334,286.94708,294.61472,-0.038003527,0.0000107,Semi-natural and natural areas not in use,Bk,-2.199708163,41.05576906
36.6,758,948,1198,1277,1660,2190,2344,2480,2539,2513,2771,2037,1085,20.67656,205.74345,0.332482993,15.18629,279.2509,285.2733,291.15808,-0.3199747,0.000177,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.434070685,42.21314737
9.1,464,726,1000.5,1206,1545.5,1940.5,2120,2360.5,2389,2198,2562,1865,536,2.8511186,12.8082285,0.358965015,14.556764,281.26776,286.18015,291.6254,-0.71464443,0.000312,Fallow land,Bk,-2.569156165,42.85325071
13.2,616,836,1189,1595,1772,2237,2405,2693,2697,2652,3374,2505,1234,0,0,0.201655094,7.0775323,279.98334,286.94708,294.61472,-0.038003527,0.0000107,Fallow land,Bk,-2.186775964,41.1121402
43.6,568,828,1016,1111,1459,2131,2351,2357,2710,2901,2817,1950,1261,13.243331,210.70743,0.432968179,15.18629,279.2509,285.2733,291.15808,-0.3199747,0.000177,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.40648199,42.1983246
50.7,402,571,844,906,1174,1787,1970,2169,2228,2292,2322,1536,1107,7.9600315,157.84135,0.538013116,6.1256537,280.59503,287.39465,294.6515,0.0904319,0.0000124,Forestry,Bk,-1.927477496,39.88405418
99.5,394,483,676,754,1077,1537,1718,1818,1983,1951,2580,1873,1119,3.2427514,180,0.376183358,5.9181676,280.59503,287.39465,294.6515,0.0904319,0.0000124,Forestry,Bk,-1.937471336,39.93762679
62,496,680,950,1318,1524,1881,2046,2172,2258,2186,3366,2596,1202,3.5458858,301.49796,0.227172149,5.9181676,279.4789,286.08115,292.86694,0.16366097,0.0000129,Agriculture (excluding fallow land and kitchen gardens),Bk,-1.950832263,40.0090496
58.2,718,835.5,1070,1200.5,1429.5,2093,2323,2453.5,2580,2677.5,2790,1961.5,1360,14.521887,231.3215,0.547499661,9.223425,280.18774,287.60205,294.22186,0.47383332,0.0000189,Semi-natural and natural areas not in use,Bk,-2.042101472,40.49093512
38,460,562,800,1141,1385,1779,1887,2035,2127,2224,3146,2283,1204,4.6743197,113.32614,0.109407504,8.693144,279.98334,286.94708,294.61472,-0.038003527,0.0000107,Semi-natural and natural areas not in use,Bk,-2.142276735,41.00809619
8.6,796,1063,1394,1805,2175.5,2498.5,2686,2761,2902.5,2806.5,3504,2726.5,1126,4.460275,213.89117,0.167900769,10.719424,277.98975,283.64026,289.90793,-0.2945667,0.0000132,Fallow land,Bk,-2.320408299,41.89874923
31.5,546,700,978.5,1194.5,1574,1994.5,2200.5,2404,2399,2478,3040.5,2160,1470,15.16774,122.50844,0.24499436,13.7934,277.98975,283.64026,289.90793,-0.2945667,0.0000132,Agriculture (excluding fallow land and kitchen gardens),Bk,-2.334963769,41.96994727
